threshold,sample_count,tp,tn,fp,fn,accuracy,precision,recall,specificity,balanced_accuracy,f1
0.3,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.31,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.32,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.33,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.34,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.35,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.36,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.37,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.38,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.39,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.4,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.41,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.42,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.43,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.44,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.45,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.46,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.47,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.48,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.49,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.5,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.51,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.52,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.53,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.54,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.55,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.56,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.57,8,6,1,1,0,0.875,0.857143,1.0,0.5,0.75,0.923077
0.58,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.59,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.6,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.61,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.62,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.63,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.64,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.65,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.66,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.67,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.68,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.69,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.7,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.71,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.72,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.73,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.74,8,6,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.75,8,5,2,0,1,0.875,1.0,0.833333,1.0,0.916667,0.909091
0.76,8,5,2,0,1,0.875,1.0,0.833333,1.0,0.916667,0.909091
0.77,8,5,2,0,1,0.875,1.0,0.833333,1.0,0.916667,0.909091
0.78,8,5,2,0,1,0.875,1.0,0.833333,1.0,0.916667,0.909091
0.79,8,5,2,0,1,0.875,1.0,0.833333,1.0,0.916667,0.909091
0.8,8,4,2,0,2,0.75,1.0,0.666667,1.0,0.833333,0.8
0.81,8,4,2,0,2,0.75,1.0,0.666667,1.0,0.833333,0.8
0.82,8,4,2,0,2,0.75,1.0,0.666667,1.0,0.833333,0.8
0.83,8,4,2,0,2,0.75,1.0,0.666667,1.0,0.833333,0.8
0.84,8,4,2,0,2,0.75,1.0,0.666667,1.0,0.833333,0.8
0.85,8,4,2,0,2,0.75,1.0,0.666667,1.0,0.833333,0.8
0.86,8,3,2,0,3,0.625,1.0,0.5,1.0,0.75,0.666667
0.87,8,3,2,0,3,0.625,1.0,0.5,1.0,0.75,0.666667
0.88,8,3,2,0,3,0.625,1.0,0.5,1.0,0.75,0.666667
0.89,8,2,2,0,4,0.5,1.0,0.333333,1.0,0.666667,0.5
0.9,8,2,2,0,4,0.5,1.0,0.333333,1.0,0.666667,0.5
